midi_filename,dataset_name,file_path,processing_time,timestamp,tonal_certainty_piece,mean_tonal_certainty_measures,pitch_class_entropy_piece,mean_pitch_class_entropy_measures,max_melodic_interval_entropy_piece,max_mean_melodic_interval_entropy_measures,max_ioi_entropy_piece,max_mean_ioi_entropy_measures,max_polyphony,avg_polyphony,std_polyphony,polyphony_density,mean_max_polyphony_measures,std_max_polyphony_measures,mean_avg_polyphony_measures,std_avg_polyphony_measures,mean_polyphony_density_measures,std_polyphony_density_measures,atc_score,atc_processing_time
2408.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2408.mid,43.59763813018799,2025-09-22 10:21:38.389957,1.136052699534313,0.6608973680482352,3.2646005694904674,3.2646005694904674,3.6001073134967525,3.531493728548354,0.8904916402194913,0.4310400666170139,5,2.111033487914741,1.6744464091378006,0.3115890189217262,2.375,1.79843682124227,2.1786684782608696,1.6747056580443547,0.3229166666666667,0.4338888666595527,0.0,31.811116933822632
2517.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2517.mid,70.79814338684082,2025-09-22 10:22:05.586395,0.9673277271346036,0.8591921991937909,3.4132231499780024,3.4132231499780024,3.543876224783639,3.125383839548777,1.272905595320056,1.1485396637703325,5,3.7111486486486487,1.2544558547103575,0.8378378378378378,4.125,1.2686114456365274,3.92303707437276,1.2057667426633403,0.86328125,0.3277294863312386,0.0,51.18240475654602
0447.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0447.mid,75.19219422340393,2025-09-22 10:22:09.977732,0.8733589072180945,1.2391217614098844,3.3465137748676863,3.3465137748676863,3.8044995272768096,3.198009443464199,1.244636891540162,0.9718942623986105,5,4.1124999378999485,0.31598054033825457,1.0,4.375,0.4841229182759271,4.12088122605364,0.32565849651088585,0.9861111111111112,0.03674654598700822,0.0,48.76171255111694
0771.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0771.mid,82.37702202796936,2025-09-22 10:22:17.140792,0.9192656795739702,1.0485449634075796,3.0126785139181074,3.0126785139181074,3.471306334686975,3.147890576178093,1.2144084219969802,0.7320820505448783,5,2.2539062500000036,1.7902689368390798,0.33333333333333337,3.0,2.0,2.7060668498168496,1.825682099570199,0.4560475472240178,0.4586059246456344,0.0,53.767197132110596
2037.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2037.mid,83.73353958129883,2025-09-22 10:22:18.497882,1.3364378603952605,0.9708953161390592,2.8730018843798226,2.8730018843798226,3.4932712903513017,2.504062576204645,1.873026059992085,1.0056483153259377,5,4.243548736378051,0.9674825046860158,1.0,4.625,0.9921567416492215,4.271699756182515,0.8911830724610986,0.9913793103448276,0.014931472479042028,0.0,56.91850256919861
2314.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2314.mid,88.08736824989319,2025-09-22 10:22:22.878266,0.9555770659412218,1.0014553613540538,3.1069718801784054,3.1069718801784054,3.372780953300981,2.97231325212644,1.5110694778720364,0.939041133506406,5,3.483733599942788,1.3266530907886305,0.8501713742904892,4.0,0.8660254037844386,3.3906134483365604,1.2808484077262676,0.8525891442653456,0.18817029663778018,0.0,61.56839656829834
2348.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2348.mid,89.28948855400085,2025-09-22 10:22:24.079601,0.9584222020263853,0.9309860565229509,3.183266123302236,3.183266123302236,3.746106677498499,3.177364308334924,0.9228063975853574,0.6491124604459427,5,2.187691538105643,1.5447683839161195,0.37641001809207625,2.625,1.653594569415369,2.319642857142857,1.476999466306399,0.40491071428571423,0.4398404507660727,0.0,51.63778114318848
0018.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0018.mid,95.94401717185974,2025-09-22 10:22:30.730045,0.8792611447947091,1.067540940070381,2.9474288925279,2.9474288925279,3.7185429903959206,3.3217985693766408,1.8165920923622654,1.6409752897805794,5,3.432291666666662,1.0731568299168661,1.0,4.25,0.9682458365518543,3.3698257125062874,0.8298515149142387,0.9812642518437951,0.016073321022834285,0.0,64.47983503341675
1853.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1853.mid,97.47762203216553,2025-09-22 10:22:32.270868,1.1046601805807224,0.9785499292829274,2.661464530846592,2.661464530846592,3.3444972988919517,2.904347484781421,1.6424558114346375,1.658671187852717,4,3.571428571428571,1.049781318335648,0.8571428571428571,4.0,0.0,3.5423013024986707,0.5844220639758376,0.8647419922913344,0.18656980919990496,0.0,66.78054928779602
0599.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0599.mid,98.11301755905151,2025-09-22 10:22:32.874034,0.9875192977568436,0.5355243878512802,2.97708443893778,2.97708443893778,2.831950391604694,1.8913601841235097,1.3725531875543378,0.9624504551438915,5,3.363636363636361,0.6428243465332255,1.0,4.125,0.7806247497997998,3.5435881647088543,0.6022737008795456,0.9618131868131867,0.033183432013673526,0.0,58.066287994384766
2536.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2536.mid,103.17613339424133,2025-09-22 10:22:37.973484,0.8053276836667961,0.8529704934556236,3.104424348504649,3.104424348504649,4.075112648653047,3.921157056724734,1.5146086081104844,1.4518910489904573,6,5.02941719179123,0.6691487709103521,1.0,5.5,0.5,5.156152181152182,0.4332972390440457,0.9967948717948718,0.008479972150848053,0.0,71.15695810317993
0657.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0657.mid,104.28384804725647,2025-09-22 10:22:39.049808,0.933389383464501,0.9111024819446478,3.086414838403678,3.086414838403678,3.7699112344889785,2.8366266725412914,1.3386996992730573,0.6793273234617601,4,2.2978723404255326,1.2362416209645868,0.6595744680851063,3.75,0.6614378277661477,3.0032459135718494,0.6590629320007529,0.8967037379472516,0.08890103641771202,0.0,61.028916120529175
2548.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2548.mid,107.45079278945923,2025-09-22 10:22:42.249928,0.7836080680759673,0.8599968800890065,3.079785654394207,3.079785654394207,3.5160756853980066,3.035208761327377,1.1488835401005122,0.9970151057384782,6,4.243750000000003,0.6365290809015195,1.0,4.5,0.8660254037844386,4.164475899344319,0.754040248276795,0.9499579124579124,0.04587779547803573,0.0,76.46476602554321
1819.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1819.mid,107.6913652420044,2025-09-22 10:22:42.461213,0.7420769237909824,1.0771081291159788,3.2548553004544454,3.2548553004544454,3.3776922797086035,2.835104804319469,1.4927313788278667,1.1302282261331122,6,4.996212121212122,0.7359703245654347,1.0,5.625,0.6959705453537527,5.067906212166529,0.6258304370814921,0.986798128342246,0.029762414350051974,0.0,57.21491003036499
1512.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1512.mid,108.38506627082825,2025-09-22 10:22:43.187469,1.2672652144033019,1.2261588596869268,2.76334665026526,2.76334665026526,3.2954905742906617,3.2430452892172794,1.8006235444085794,1.741707245602854,6,4.515625000000006,2.0690591725165817,0.75,5.375,1.653594569415369,4.854465751176278,1.519256557144165,0.8287558813874604,0.31815469887855014,0.0,69.90543222427368
2349.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2349.mid,114.49238657951355,2025-09-22 10:22:49.261550,0.7411630383409707,0.9889161898984518,3.1002626829348294,3.1002626829348294,3.5311555664420715,3.198338510551244,0.9182958340544896,0.16836329850940127,5,3.260869565217389,1.7989705100501914,0.6521739130434783,4.0,1.7320508075688772,3.7927657884611388,1.6215522283641204,0.7189130061770762,0.41814574415446315,0.0,87.06339859962463
2141.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2141.mid,116.10171008110046,2025-09-22 10:22:50.893551,1.015045541788734,0.9623892785491299,2.749575963509835,2.749575963509835,3.4979947491275922,2.792896608419108,1.0608288970339022,0.9670340276877455,5,3.6568037867013357,1.410222080820278,1.0,4.125,1.2686114456365274,3.6138350360877873,1.3464302631046163,0.9981884057971014,0.004793027737435837,0.0,78.89067721366882
2533.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/2533.mid,119.6038031578064,2025-09-22 10:22:54.405149,0.7444437194080135,0.6450271061396914,3.1772160618340117,3.1772160618340117,3.8453218101116264,2.31803176632329,1.1547717145751624,0.9934611468699004,5,3.5661953628534233,0.8753192209203405,1.0,3.875,0.9270248108869579,3.6860593971631204,0.8264290287676117,0.9986702127659575,0.0035182863179050276,0.0,81.41898727416992
1707.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1707.mid,119.65843415260315,2025-09-22 10:22:54.445793,1.1097124939628722,1.0290906010405456,2.927581097750299,2.927581097750299,3.747253622318624,3.6759734437071407,0.6962122601251458,0.6988553178904081,5,4.818181818181786,0.3856946079199394,1.0,4.875,0.33071891388307384,4.766198501872659,0.41824180453248866,0.9788836397684713,0.02362545692036075,0.0,72.42300653457642
0032.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0032.mid,119.85142421722412,2025-09-22 10:22:54.698883,0.9603018409644505,1.1247769886717973,2.856788725020242,2.856788725020242,3.594263842503385,3.228159479302013,1.784828533596186,1.4647614902358304,6,4.517499999999997,1.9810839835807137,0.8399999999999999,5.375,1.653594569415369,4.3994617665954205,1.6960303273180477,0.834472752311627,0.3293552418032725,0.0,81.64435362815857
0337.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0337.mid,125.60749864578247,2025-09-22 10:23:00.406963,0.9425125251501084,0.9103185238856886,2.7219640769730677,2.7219640769730677,3.632206007730761,3.56614378261383,1.6396937586784177,1.6119262114017059,6,5.061533225672116,0.67705109734077,1.0,5.625,0.4841229182759271,5.075964847911355,0.34198888374372477,0.9970238095238095,0.00787425985435891,0.0,87.5781421661377
