model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime,file_path,processing_time,timestamp,tonal_certainty_piece,pitch_class_entropy_piece,melodic_interval_entropy_piece,ioi_entropy_piece,max_polyphony,avg_polyphony,std_polyphony,polyphony_density,atc_score,atc_processing_time,atc_error,seg_max_poly,seg_avg_poly,seg_poly_density,seg_poly_std,seg_mean_max_polyphony_measures,seg_std_max_polyphony_measures,seg_mean_avg_polyphony_measures,seg_std_avg_polyphony_measures,seg_mean_polyphony_density_measures,seg_std_polyphony_density_measures
MT3,msmd,AndreJ__O34__andre-sonatine.mid,95.772154,2,1,0.966725,0.966725,0.966725,0.954468,1.0,1.0,1.0,0.937111,1.0,1.0,1.0,0.966725,0.966725,0.966725,322.140828,/depot/yunglu/data/transcription/msmd_data/AndreJ__O34__andre-sonatine/AndreJ__O34__andre-sonatine.mid,6.824245452880859,2025-08-05 02:21:40.317696,1.2235718676065337,2.862390053934601,3.98565059075724,1.592111687906493,4.0,2.114457831325303,0.6151956354758621,0.900602409638554,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/AndreJ__O34__andre-sonatine/AndreJ__O34__andre-sonatine.mid']' returned non-zero exit status 1.",4,2.114457831325303,0.900602409638554,0.6151956354758621,2.75,0.6614378277661477,2.0409863801514967,0.2234247076712352,0.8843769121374601,0.0773698817870958
MT3,msmd,Anonymous__lanative__lanative.mid,31.981134,2,1,0.928994,0.907514,0.918129,0.944669,1.0,0.976879,0.988304,0.911593,1.0,0.976879,0.988304,0.940828,0.919075,0.929825,18.125992,/depot/yunglu/data/transcription/msmd_data/Anonymous__lanative__lanative/Anonymous__lanative__lanative.mid,1.923357963562012,2025-08-05 02:21:33.235993,1.5469511862168208,2.4403227774854623,3.283484484901413,1.2216744786484577,8.0,2.1442225085910653,0.9415539024279028,0.9689647766323024,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/Anonymous__lanative__lanative/Anonymous__lanative__lanative.mid']' returned non-zero exit status 1.",8,2.1442225085910653,0.9689647766323024,0.9415539024279028,3.375,2.057759704144291,2.046165715089864,0.1905996018948384,0.9297851915885972,0.0612255874166939
MT3,msmd,Anonymous__lesgraces__lesgraces.mid,41.864127,2,1,0.963964,0.938596,0.951111,0.957878,1.0,0.973684,0.986667,0.936548,1.0,0.973684,0.986667,0.968468,0.942982,0.955556,17.881309,/depot/yunglu/data/transcription/msmd_data/Anonymous__lesgraces__lesgraces/Anonymous__lesgraces__lesgraces.mid,6.042739152908325,2025-08-05 02:22:05.568950,1.0530864793605603,2.940451087066098,3.729303748308017,0.6920646933586272,4.0,2.349913194444446,0.6539476752074587,0.9499131944444446,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/Anonymous__lesgraces__lesgraces/Anonymous__lesgraces__lesgraces.mid']' returned non-zero exit status 1.",4,2.349913194444446,0.9499131944444446,0.6539476752074587,2.875,0.7806247497997998,2.117620798319328,0.3782345100057236,0.859140114379085,0.1446146768578191
MT3,msmd,BachCPE__cpe-bach-rondo__cpe-bach-rondo.mid,450.456961,2,11,0.61599,0.818815,0.703067,0.971345,0.717781,0.954123,0.819247,0.884562,0.736129,0.978513,0.840189,0.670162,0.890825,0.764897,40.467714,/depot/yunglu/data/transcription/msmd_data/BachCPE__cpe-bach-rondo__cpe-bach-rondo/BachCPE__cpe-bach-rondo__cpe-bach-rondo.mid,21.98611617088318,2025-08-05 02:23:06.815171,1.0480350171568849,3.3700700263299894,3.672275364242791,0.9743817063347048,7.0,2.769398545240497,1.0115298252120586,0.9011099899091828,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachCPE__cpe-bach-rondo__cpe-bach-rondo/BachCPE__cpe-bach-rondo__cpe-bach-rondo.mid']' returned non-zero exit status 1.",7,2.769398545240497,0.9011099899091828,1.0115298252120586,5.375,0.9921567416492216,2.6885431876703767,0.2883076735368477,0.8991931430348614,0.0749838477931407
MT3,msmd,BachJS__BWV1006a__bwv-1006a_1.mid,417.002812,2,10,0.777179,0.911022,0.838795,0.947149,0.833497,0.977038,0.899577,0.907852,0.842311,0.987371,0.909091,0.800686,0.938576,0.864165,39.63351,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_1/BachJS__BWV1006a__bwv-1006a_1.mid,21.94781255722046,2025-08-05 02:22:37.502311,1.062010538334925,3.1661144612626786,4.127246059548623,0.0836624717892775,6.0,1.3195443645083933,0.6030909858723014,0.2817745803357314,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_1/BachJS__BWV1006a__bwv-1006a_1.mid']' returned non-zero exit status 1.",6,1.3195443645083933,0.2817745803357314,0.6030909858723014,2.5,1.3228756555322954,1.297411559712956,0.1740849177623074,0.2818009606346149,0.1392348499709203
MT3,msmd,BachJS__BWV1006a__bwv-1006a_2.mid,145.502041,2,6,0.674058,0.853933,0.753408,0.975992,0.762749,0.966292,0.85254,0.903152,0.773836,0.980337,0.864932,0.700665,0.88764,0.783147,22.472348,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_2/BachJS__BWV1006a__bwv-1006a_2.mid,9.455083847045898,2025-08-05 02:22:54.203236,1.0751410816960836,3.1867472645130106,3.8779409998506496,2.1904572939736524,5.0,2.2384020618556684,1.093041392418353,0.7077247995418096,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_2/BachJS__BWV1006a__bwv-1006a_2.mid']' returned non-zero exit status 1.",5,2.2384020618556684,0.7077247995418096,1.093041392418353,4.0,0.7071067811865476,2.056355042016807,0.2757209029857947,0.6521268355827179,0.0829356874463101
MT3,msmd,BachJS__BWV1006a__bwv-1006a_3.mid,400.002902,2,7,0.709497,0.87687,0.784354,0.982981,0.789572,0.975834,0.872877,0.917192,0.795158,0.982739,0.879053,0.72905,0.901036,0.80597,30.71071,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_3/BachJS__BWV1006a__bwv-1006a_3.mid,10.38757586479187,2025-08-05 02:21:59.774400,1.3467129167339262,3.146323333173374,3.953088717877887,0.9504670215175256,4.0,1.898652343749999,0.8188586165038693,0.6652148437499997,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_3/BachJS__BWV1006a__bwv-1006a_3.mid']' returned non-zero exit status 1.",4,1.898652343749999,0.6652148437499997,0.8188586165038693,3.5,0.7071067811865476,1.732686967982178,0.2458699687067854,0.6170381643070733,0.1674950010652322
MT3,msmd,BachJS__BWV1006a__bwv-1006a_4.mid,102.002358,2,5,0.780142,0.894309,0.833333,0.983951,0.843972,0.96748,0.901515,0.947138,0.851064,0.97561,0.909091,0.794326,0.910569,0.848485,19.572974,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_4/BachJS__BWV1006a__bwv-1006a_4.mid,3.2081139087677,2025-08-05 02:21:52.246935,1.1606951856707912,2.969309928092925,3.687453815391336,1.039286404625504,5.0,2.0231566584967315,1.0401213649415093,0.6223958333333331,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_4/BachJS__BWV1006a__bwv-1006a_4.mid']' returned non-zero exit status 1.",5,2.0231566584967315,0.6223958333333331,1.0401213649415093,3.375,0.9921567416492216,1.743598600420683,0.3258509716378852,0.5325321098089977,0.1747557792931368
MT3,msmd,BachJS__BWV1006a__bwv-1006a_5.mid,96.002902,2,4,0.621701,0.831373,0.711409,0.980872,0.72434,0.968627,0.828859,0.896135,0.733138,0.980392,0.838926,0.662757,0.886275,0.758389,20.599884,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_5/BachJS__BWV1006a__bwv-1006a_5.mid,3.4332973957061768,2025-08-05 02:21:34.775521,1.261307253565497,2.998260273876588,4.070877697050033,0.5835256505692645,4.0,2.0206705729166665,0.9195363613128128,0.6810709635416666,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_5/BachJS__BWV1006a__bwv-1006a_5.mid']' returned non-zero exit status 1.",4,2.0206705729166665,0.6810709635416666,0.9195363613128128,3.375,0.6959705453537527,1.8992455458248296,0.188285330461087,0.6798388543113607,0.1612789783490256
MT3,msmd,BachJS__BWV1006a__bwv-1006a_6.mid,145.002812,2,5,0.666667,0.890141,0.762364,0.987333,0.727848,0.971831,0.832328,0.940363,0.736287,0.983099,0.841978,0.696203,0.929577,0.79614,22.031144,/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_6/BachJS__BWV1006a__bwv-1006a_6.mid,7.355787038803101,2025-08-05 02:21:38.710403,1.1005883449014249,3.0449398403981265,3.9909190385602025,0.3914100328040082,3.0,1.6344468390804596,0.5228529400190464,0.6275862068965518,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/msmd_data/BachJS__BWV1006a__bwv-1006a_6/BachJS__BWV1006a__bwv-1006a_6.mid']' returned non-zero exit status 1.",3,1.6344468390804596,0.6275862068965518,0.5228529400190464,2.125,0.3307189138830738,1.6073665489300164,0.1670192848534691,0.6183959606947222,0.1418109549109484
